key;Key
main_menu;Main menu
default_projection;Reports 
rapport_libelle;Report title
biblio;Libraries
logout;Logout
parametrage;Settings 
date_debut;From date 
date_end;Until 
date_not_valide;Invalid date 
excute_filtre;Execute
export_excute_filtre;Export result 
export_last_day;Export last day 
export_all;Export all
export_excel;Exporter to XLS
add;Add
file;File
hour;Hour
categorie;Category
title;Title
sous_lib;Sub-library
add_document;Add document
calendar;Calendar
lib_dossier;lib_folder
lib_insert_date;Insert date
add_lib;Add Library
add_sub_lib;Add Sub-library
name;Name
description;Description
added_by;Added by
added_at;Added at
delete;Delete
bibliotheque;Library
valider;Confirm
notification;Notification
username;User Name
email;E-mail
tel;Telephone
admin;Admin
oper;Operator
notif_mail;E-mail notification
notif_sms;SMS notification
gestion_utilisateurs;User Management 
gestion_biblio;Library Management
demande_specifique;Specific Request
liste_des_demandes;List of Requests
objet_de_demande;Subject 
message;Message
envoyer;Send
msg_success;Your request has been send successfully !!
title_login;connection login and password
username_connexion;username
password_connexion;password
rename_report;Rename your report
select_report;Select a report
save;Save
msg_add;Successfully added !!
msg_modif;Successfully updated !!
create_report;Create your report
still_char;Character(s) Remaining
required_field;This field is required !
add_categ;Create category
add_sub_categ;Create group
assigner_categ;Assign a category
select_categ;Select a category
categ_not_found;You didn't find your category ?
create_new;Create new one
select_sub_categ;Select a group
sub_categ_not_found;You didn't find your group ?
create_new_cat;Create a new category
create_new_sub_cat;Create a new group
report_cat;Report Category
sub_cat_name;Group name
cat_name;Category name
search_by;Search by report, category or group
